web-scraper-order,web-scraper-start-url,category-link,category-link-href,subcategory-link,subcategory-link-href,product-link,product-link-href,name,price,description,image
"1720902986-1","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Anklets","https://mejuri.com/ca/en/category/bracelets-anklets/anklets","Boyfriend Bold Chain Anklet","https://mejuri.com/ca/en/shop/products/boyfriend-bold-chain-anklet?qID=8fc03f37c4b9aee388d99aaca14de4ee","Boyfriend Bold Chain Anklet","C$300","Your boyfriend denim just found its match with the anklet version of one of our most popular chains. Handcrafted in 14k solid gold, so you can wear it every day—whenever, wherever.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/19986/original/0_Boyfriend_Bold_Chain_Anklet_hero.jpg?1620309799"
"1720902991-2","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Anklets","https://mejuri.com/ca/en/category/bracelets-anklets/anklets","Anchor Chain Anklet","https://mejuri.com/ca/en/shop/products/anchor-chain-anklet?qID=8fc03f37c4b9aee388d99aaca14de4ee","Anchor Chain Anklet","C$300","A minimal chain with maximum styling impact. Handcrafted in 14k solid gold, this chain is named for the way its interconnected links resemble a ship’s chain holding an anchor.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/20936/original/0_AnchorChain_anklet_yg_topdown_hero.jpg?1629724723"
"1720902997-3","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Anklets","https://mejuri.com/ca/en/category/bracelets-anklets/anklets","Micro Pearl Anklet","https://mejuri.com/ca/en/shop/products/micro-pearl-anklet?qID=8fc03f37c4b9aee388d99aaca14de4ee","Micro Pearl Anklet","C$248","Going somewhere? Let this small but mighty anklet take your looks to another level. Handcrafted in 14k gold featuring freshwater pearls.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/32386/original/0-EVILEYETURQUOISE-PearlAnklet-14K-TopDown_185.jpg?1714148887"
"1720903003-4","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Anklets","https://mejuri.com/ca/en/category/bracelets-anklets/anklets","Dot Chain Anklet","https://mejuri.com/ca/en/shop/products/dot-chain-anklet?qID=8fc03f37c4b9aee388d99aaca14de4ee","Dot Chain Anklet","C$348","Dot your I’s and stack them too. This anklet is perfect for your regular rotation of stackers. Handcrafted in 14k solid gold.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/24810/original/0_DotChainAnklet_YG_Hero.jpg?1651155975"
"1720903009-5","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Anklets","https://mejuri.com/ca/en/category/bracelets-anklets/anklets","Chain Anklet","https://mejuri.com/ca/en/shop/products/chain-anklet?qID=8fc03f37c4b9aee388d99aaca14de4ee","Chain Anklet","C$238","Bare ankles no more. These links will be the cherry on top of your favorite shoe. Handcrafted in 14k solid gold.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/29188/original/0-ANKLETS_ThinCableChainAnklet_14k_TopDown_164.jpg?1682106635"
"1720903021-6","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Chain Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets/chain-bracelets","Paperclip Chain Charm Bracelet","https://mejuri.com/ca/en/shop/products/paperclip-chain-charm-bracelet?qID=31362fa236e62844ceb5ceaee72aa6c4","Paperclip Chain Charm Bracelet","C$778","The nostalgia intensifies. Tell your story with this bold chain and our new Stacker Clasp—a link that can layer three of your favorite charms together. Pick the ones that mean the most to you and relive your charm bracelet era. Handcrafted in 14k solid gold.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/28483/original/0_PaperclipChainCharmBracelet_YG_Hero.jpg?1676297099"
"1720903026-7","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Chain Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets/chain-bracelets","Double Curb Chain Bracelet","https://mejuri.com/ca/en/shop/products/double-curb-chain-bracelet-silver?qID=31362fa236e62844ceb5ceaee72aa6c4","Double Curb Chain Bracelet","C$90","Double the curb, double the chain, double the silver. This one’s a statement, not a gesture.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/21477/original/DoubleCurbChain_Bracelet_SS_Hero_%281%29.jpg?1632323658"
"1720903031-8","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Chain Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets/chain-bracelets","3mm Round Box Chain Bracelet","https://mejuri.com/ca/en/shop/products/3mm-round-box-chain-bracelet?qID=31362fa236e62844ceb5ceaee72aa6c4","3mm Round Box Chain Bracelet","C$998","Simple is always best when it comes to your every day. Not too bold, not too minimal, this chain is just right. Handcrafted in 14k solid yellow gold.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/32439/original/0-MENSROUNDBOXLES-3mmRoundBoxChainBracelet-14K-TopDown_495.jpg?1714744892"
"1720903036-9","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Chain Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets/chain-bracelets","Boyfriend Bold Bracelet","https://mejuri.com/ca/en/shop/products/boyfriend-bold-bracelet-white-gold?qID=31362fa236e62844ceb5ceaee72aa6c4","Boyfriend Bold Bracelet","C$238","Your boyfriend denim just found its match. It’s handcrafted in 14k solid gold. Raw, loose, and bold. Wear it every day – whenever, wherever.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/27929/original/BoyfriendBold_Bracelet_wg_hero.jpg?1673977214"
"1720903042-10","https://mejuri.com/ca/en","Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets","Chain Bracelets","https://mejuri.com/ca/en/category/bracelets-anklets/chain-bracelets","4mm Round Box Chain Bracelet","https://mejuri.com/ca/en/shop/products/4mm-round-box-chain-bracelet-silver?qID=31362fa236e62844ceb5ceaee72aa6c4","4mm Round Box Chain Bracelet","C$198","Simple is always best when it comes to your every day. Not too bold, not too minimal, this chain is just right. Handcrafted in sterling silver.","https://static.mejuri.com/mejuri-com/image/fetch/c_scale,f_auto,q_60,w_230/https://static.mejuri.com/legacy-front/production/system/spree/products/32445/original/0-MENSROUNDBOXLES-4mmRoundBoxChainBraceletSilver-SS-TopDown_462.jpg?1714745574"
